portfolio,gate_window,gate_threshold,full_mean_pl,full_std_pl,full_sharpe,full_score,full_worst_day,full_q05,full_q95,roll_mean_score,roll_median_score,roll_min_score,roll_neg_count,roll_mean_std,roll_mean_worst_day,active_assets,avg_multiplier
all_full_gate20,20,0.0,710.2665369663961,4529.058485732797,2.479610287314034,610.9072590422738,-12494.702602799982,-6753.87384563008,8696.097650470107,381.7695653505977,219.11662010538973,0.03247687050060059,0,4066.493003801309,-13025.15019259996,51,1.0
inverse_standalone_std_gate20,20,0.0,592.6791748695983,3937.6294883933315,2.3798787060357656,503.7393567630126,-10844.517930599977,-5858.011560630032,7444.646202660026,328.17572533460856,176.35640958839062,1.3234351543056444,0,3532.062661860591,-11128.520137520007,51,0.8955300699940428
inverse_downside_q05_gate20,20,0.0,590.0907326600072,3915.1083304206677,2.3831150812149207,501.74371198350985,-10796.420233599958,-5816.87313891004,7328.817798420026,325.88287480822044,177.1407841697634,1.4459816256441729,0,3512.252193531195,-11073.397348786653,51,0.8830822321856312
positive_low_bad_window_gate20_loose,20,-250.0,235.37785251919954,1057.1956138112523,3.5203046389708255,217.80256291646586,-2748.614446799984,-1595.2087956900111,2022.1755147600174,140.8151214816838,133.65537760217566,0.58023385740844,0,1060.2021501815966,-2538.4384991333313,3,1.0
positive_low_bad_window_raw,0,0.0,235.37785251919954,1057.1956138112523,3.5203046389708255,217.80256291646586,-2748.614446799984,-1595.2087956900111,2022.1755147600174,145.23546436211626,133.65537760217566,0.00989195474629615,0,1080.9372369318357,-2538.4384991333313,3,1.0
positive_low_bad_window_gate40_loose,40,-500.0,235.37785251919954,1057.1956138112523,3.5203046389708255,217.80256291646586,-2748.614446799984,-1595.2087956900111,2022.1755147600174,145.23546436211626,133.65537760217566,0.00989195474629615,0,1080.9372369318357,-2538.4384991333313,3,1.0
all_full_gate40_loose,40,-500.0,912.0882568551991,4785.120388970964,3.013797025256637,821.6299861418006,-12494.702602799982,-6782.02931528007,8696.097650470107,495.3073060337736,467.6300572855384,-213.02563764999854,1,4516.129444903433,-11863.067484399979,51,1.0
inverse_standalone_std_gate40_loose,40,-500.0,773.6602115679975,4157.648276384122,2.9422022270368062,693.5425820293375,-10844.517930599977,-5885.1776690500255,7444.646202660026,409.57614845889503,389.3372031016342,-207.4718797220016,1,3938.3766781436047,-10330.120420466636,51,0.8955300699940428
top20_robust_assets_gate20_loose,20,-250.0,554.7301326103985,2398.333086898605,3.6571456970652827,516.1394442987346,-5954.720835799992,-3378.8554209000345,4616.901717890026,306.9125130741559,317.43554050140176,-34.319303121999255,1,2336.5285719716508,-5880.827325239993,20,1.0
top20_robust_assets_gate20,20,0.0,476.0221835223993,2297.607352513078,3.2758302132237094,435.44426149188587,-5954.720835799992,-3378.8554209000345,4273.6847501399825,265.55702029326807,230.49840884245992,-25.367050611995015,1,2120.4761061283334,-5766.516760479994,20,1.0
positive_low_bad_window_gate20,20,0.0,194.46843021999982,1011.3366989834024,3.0403483484327274,175.48426561250778,-2748.614446799984,-1595.2087956900111,1989.672496270015,99.18630610502281,62.51289770840377,-6.248018167998975,1,932.5829605484889,-2535.4504870533324,3,1.0
inverse_downside_q05_gate40_loose,40,-500.0,768.1042667896054,4134.788766281346,2.937222553370344,688.3200951694907,-10796.420233599958,-5843.853370430055,7367.809899360037,393.8639113575098,386.69480025908274,-275.14550928599897,2,3938.7163404204243,-10261.709283079968,51,0.8830822321856312
top20_robust_assets_raw,0,0.0,570.2751348231986,2426.3202769108566,3.7162618970009285,531.7706151508983,-5954.720835799992,-3378.8554209000345,4632.879887600038,341.83974390302416,364.6850737976961,-15.90475073799258,2,2504.237315405205,-5880.827325239993,20,1.0
all_full_raw,0,0.0,912.0882568551991,4785.120388970964,3.013797025256637,821.6299861418006,-12494.702602799982,-6782.02931528007,8696.097650470107,435.319757035365,467.6300572855384,-289.2293210659991,3,4964.682034947047,-13167.606798986624,51,1.0
inverse_standalone_std_raw,0,0.0,773.6602115679975,4157.648276384122,2.9422022270368062,693.5425820293375,-10844.517930599977,-5885.1776690500255,7444.646202660026,368.211947796086,389.3372031016342,-259.4365905900002,3,4312.786385211988,-11254.4212252933,51,0.8955300699940428
inverse_downside_q05_raw,0,0.0,768.1042667896054,4134.788766281346,2.937222553370344,688.3200951694907,-10796.420233599958,-5843.853370430055,7367.809899360037,365.8431905693208,386.69480025908274,-249.71888723999785,3,4289.030785735152,-11200.92765165328,51,0.8830822321856312
top20_robust_assets_gate40_loose,40,-500.0,570.2751348231986,2426.3202769108566,3.7162618970009285,531.7706151508983,-5954.720835799992,-3378.8554209000345,4632.879887600038,320.82053991285625,364.6850737976961,-56.23492259599967,3,2445.597069005087,-5880.827325239993,20,1.0
all_full_gate20_loose,20,-250.0,775.7193864759989,4663.743832725786,2.629904401266033,677.7304439283326,-12494.702602799982,-6782.02931528007,8696.097650470107,335.2999345172992,223.56837849719182,-243.43351677199593,4,4287.214613902172,-13164.21917087997,51,1.0
inverse_standalone_std_gate20_loose,20,-250.0,651.9682138079978,4054.9220670111627,2.5422245897620566,564.6070403428588,-10844.517930599977,-5885.1776690500255,7444.646202660026,280.0334125163785,158.5940450387807,-217.47182270799647,4,3718.5221820392867,-11251.15369270667,51,0.8955300699940428
inverse_downside_q05_gate20_loose,20,-250.0,648.1736905400049,4031.986964984664,2.5418053174576,561.2961538498641,-10796.420233599958,-5843.853370430055,7328.817798420026,277.7355822517884,153.7018788440688,-220.85732115800144,4,3696.0394689299187,-11197.681943346653,51,0.8830822321856312
