kind,threshold,train_score,test_score,test_mean,test_std,test_sharpe,full_score
max_dispersion,0.02873246742997243,360.53283731020247,738.1044439931047,784.9864467340002,3128.0690459038838,3.967855356793424,513.6510414407833
max_dispersion,0.029667566563329178,411.1473595023118,777.973000755129,824.4732261099962,3187.071652465163,4.090295965448321,559.8003580988278
max_dispersion,0.03076901909510576,431.3733063612289,804.7612155204575,851.843933481999,3257.821484420671,4.134307318068272,583.0805433018577
max_dispersion,0.03215258606762378,637.4089749435581,619.0869836995189,691.503606584,3739.4501773090205,2.9238608663587766,630.2806452081145
max_dispersion,0.03391069435655058,531.4179295844749,716.2436702235108,785.8831663240015,3874.5868672626953,3.2070267947360573,606.2293723223311
min_coherence,0.06087527025152418,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
min_coherence,0.1183394519971311,666.3767223162087,739.8016842428391,819.5210392760113,4253.577423444381,3.0463217387988264,696.0300676495843
min_coherence,0.18683236236392134,573.5132153448076,588.7663273940485,675.1105038619996,4087.8025787751853,2.611289101377651,579.6107148293515
min_coherence,0.25196991841952515,465.46872527802253,530.5217915690723,614.6381878460036,3869.708571558357,2.5113733690403843,491.57511764091674
min_coherence,0.33930923408232133,216.07146518978007,341.0890900134838,423.8250428979984,3300.424796313573,2.0304241842947723,265.73773929937073
