hold_days,decay,train_score,test_score,test_mean,test_std,test_sharpe,full_score
1,0.25,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
1,0.5,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
1,0.75,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
1,1.0,846.3341949887315,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
2,0.25,771.1815153649434,855.6470371261182,931.0221349280048,4369.146726803949,3.3692511175503137,805.2852646745895
2,0.5,687.0049918492041,907.5433690729375,989.1930240019993,4691.31432325655,3.333930308068234,776.0872032128548
2,0.75,613.4175810851007,942.4365895606678,1032.5639390659985,5048.811871420621,3.2336854297218074,746.5930094226477
2,1.0,594.2398119129219,930.5360278595953,1021.7631491399964,5058.428652745969,3.1937771611691113,730.4119451357519
3,0.25,770.9468815683144,853.7079132403901,929.219001220006,4369.5709611063885,3.362399323774771,804.3648713593419
3,0.5,685.5134919047753,899.5960852041916,981.8408560060035,4693.9825751379985,3.3072698450495457,771.9811376756252
3,0.75,609.6169793598943,924.3033651440134,1015.9413754719961,5057.888027850578,3.175919176151777,736.9614943276168
3,1.0,589.4897815328256,910.2547937756841,1003.2646594979975,5070.707273445181,3.1283618328567,719.338965109286
5,0.25,770.176271751712,853.7079132403901,929.219001220006,4369.5709611063885,3.362399323774771,803.9044530981686
5,0.5,673.2888442999962,899.5960852041916,981.8408560060035,4693.9825751379985,3.3072698450495457,764.7253404832087
5,0.75,553.2379883784597,924.3033651440134,1015.9413754719961,5057.888027850578,3.175919176151777,703.683621914689
5,1.0,477.8992418033555,910.2547937756841,1003.2646594979975,5070.707273445181,3.1283618328567,653.5006488513912
8,0.25,770.176271751712,853.7079132403901,929.219001220006,4369.5709611063885,3.362399323774771,803.9044530981686
8,0.5,673.2888442999962,899.5960852041916,981.8408560060035,4693.9825751379985,3.3072698450495457,764.7253404832087
8,0.75,553.2379883784597,924.3033651440134,1015.9413754719961,5057.888027850578,3.175919176151777,703.683621914689
8,1.0,477.8992418033555,910.2547937756841,1003.2646594979975,5070.707273445181,3.1283618328567,653.5006488513912
