kind,lookback,short_threshold,long_threshold,train_score,test_score,test_mean,test_std,test_sharpe,full_score
same_thresholds,1,0.0015,0.0075,,543.622347746309,632.0898384940007,4031.7353517324914,2.4788873786446413,442.9016004034962
train250_400_best_thresholds,1,0.0015,0.0075,375.15575106092365,543.622347746309,632.0898384940007,4031.7353517324914,2.4788873786446413,442.9016004034962
same_thresholds,2,0.0015,0.0075,,797.0373669249658,873.1418976320117,4265.9989819376215,3.236190548485122,826.8190247609373
train250_400_best_thresholds,2,0.0015,0.0015,874.2375058668465,605.1383106493236,726.5743719760072,5146.3176818684615,2.232304773027928,767.678979501065
same_thresholds,3,0.0015,0.0075,,456.7237760453249,566.6932652959996,4396.705224154409,2.0379367749836637,422.3294212930416
train250_400_best_thresholds,3,0.001,0.0015,458.5347195128662,560.1211041361838,683.2397759980009,5064.821438399578,2.1329418089610352,498.9973626390233
same_thresholds,4,0.0015,0.0075,,305.66600688008924,432.97998491800274,4418.27046439227,1.5494784040960412,449.8752443367176
train250_400_best_thresholds,4,0.0005,0.0075,611.9840594851607,350.67259123225307,475.2349161940045,4478.378409301724,1.677867099942784,507.84519805737636
same_thresholds,5,0.0015,0.0075,,380.37739553071384,501.9842287579982,4487.781629254756,1.7685948687992177,436.735601481308
train250_400_best_thresholds,5,0.0005,0.0015,717.0251606821017,338.9664291664654,480.4988102059963,4909.213087002976,1.5475704826040964,567.097207847973
same_thresholds,7,0.0015,0.0075,,710.0888334323615,815.6007039900007,4970.978856856001,2.5942132929090986,209.0103962767419
train250_400_best_thresholds,7,0.0005,0.0125,242.43828367957664,520.7093081205817,634.2523027280008,4682.89649240334,2.1414971386627424,353.3059836847228
same_thresholds,10,0.0015,0.0075,,539.5462751211729,649.9505305100075,4648.671568659837,2.210657402324199,170.2898310166335
train250_400_best_thresholds,10,0.004,0.0125,159.42363828573826,656.8929257849215,737.5485358960059,4086.303385685513,2.8538425053363556,356.3896652775294
